Context,Utterance,Label
"si have a newbi question , my processor be p m which be i686 , but the kernel version be 2.6.10-5-386 for i386 , that fine right ? __eou__ oh ok __eou__ thx u both __eou__ err i don even have a gig of ram __eou__ lol __eou__ onli one applic can access the sound card at onc , how can i set it so multipl app can access the sound card ? __eou__ __eot__ you need to set up a softwar mixer like gstreamer , dmix , or art . __eou__ __eot__ so instal these app wil help the sound card have multi __eou__ __eot__ probabl you get esd run at the moment . should be work . but i do n't know about set it up realli __eou__ get an xmms esd plugin __eou__ __eot__",ok. gl ! __eou__,0
"i just upgrad to edgi and now x doe n't start . i can use neither gdm , kdm or startx . seem to be relat to launchpad.net/bugs/59242 . no xserver get start so not a problem with xorg.conf ( no output to xorg.log.0 ) . pleas help im in the consol __eou__ __eot__ you make need to make anoth xorg.conf __eou__ __eot__ do n't you read ? no x process even get start so xorg.conf be not even read __eou__ __eot__",ok thx __eou__,0
"what do i do with proccess that refus to die ? __eou__ __eot__ be you sure they arnt zombi ? __eou__ __eot__ i think zombi be proccess that refus to die : \ __eou__ __eot__ you have to kill the parent , iirc __eou__ __eot__ xdg-open be the z proccess __eou__ __eot__ they be dead , but still have a pid entri due to the parent not do someth it need to . __eou__ __eot__ how do i trace back to a parent ? __eou__ __eot__ i usual use the system monitor ( gui ) , but i think ps doe it also with set an option . __eou__ memori test ? most livecd come with one __eou__ __eot__ rather not have too reboot __eou__ __eot__ to do a full test , you would have to do a reboot ( it could n't test memori that in use ) __eou__ __eot__ i dont need full test , just speed __eou__ __eot__","ah , ok.. well thank . __eou__",0
"haha , not that that will tell you , or anyth , but i be not sure how to find out . __eou__ the backport be not there by default . __eou__ __eot__ i just ad the ubuntu backport and still not there __eou__ __eot__ still not what there ? __eou__ ah , sorri , never get there . __eou__ backpotr dont look like that ani more __eou__ /msg ubotu backport __eou__ __eot__ ubotu give me the same exact backport i just list __eou__ what now ? __eou__ hold up ... i think one thing have chang __eou__ nope ... it 's the same as in ubuntuforum and that 's what i have . ani other suggest ? __eou__ __eot__",i wouldv think someth like the window version of system util would exist but ill tri ask one more time __eou__ third time be alway a charm __eou__,0
"mornin folk __eou__ odd thing happen today . i can not access my file . home folder or otherwis __eou__ could anyon help me to figur out whi i can no longer access my file . i.e . home folder , pictur etc et all __eou__ __eot__ sudo chown -r $ user : $ user /home/ $ user __eou__ __eot__",thank you __eou__,1
"how can i make the ubuntu equival of a batch file ? __eou__ ok __eou__ i just one it as basic as it get __eou__ just xvnc4viewer 192.168.123.102 ' __eou__ bruen : all i want be to run this : xvnc4viewer 192.168.123.102 ' __eou__ i ll tri that thank __eou__ k __eou__ __eot__ i never say anyth about sudo __eou__ what be you look for this script to do __eou__ i be not a gerund : http : //paste.ubuntu-nl.org/27894/ __eou__ put that in a text file , make it execut with chmod +x whateveryounamethefil __eou__ then you can run it with ./whateveryounamethefil . or if you put the file in /usr/local/bin/whateveryounamethefil you can just run it with whateveryounamethefil __eou__ __eot__ i though chmod be for chang permiss ? i do n't need sudo ' to run that command , by the way __eou__ __eot__","how do you mean , chang set ? __eou__",0
"hi , somebodi know ani reason whi a coupl of aplic wo n't open when i click them in the menu ? they onli open through termin . __eou__ __eot__ which one __eou__ __eot__ tucan , hardinfo , some game ... __eou__ __eot__ how be they installed/ad to the menu __eou__ __eot__ by termin __eou__ aptitud instal __eou__ __eot__ from what sourc ; dont see those in the repo __eou__ __eot__ they be both there , i just type sudo aptitud instal `` x program '' __eou__ __eot__",tucan be part of childsplay ? __eou__,1
all : __eou__ __eot__ see the topic ? __eou__ __eot__,sorri __eou__,1
"here 's an exampl : `` sudo mkdir /media/hda1 & & sudo mount /dev/hda1 /media/hda1 '' ( hda1 might have to chang ) __eou__ __eot__ you have to creat a folder in /media to mount an hd : | __eou__ __eot__ you need to creat a mountpoint somewher - you can choos somewher els if you like __eou__ __eot__ i think /edia be the best place then ^^ , but i do n't kew i have to make a `` mountpoint '' . i ve be use linux for 2 day ; ) __eou__ __eot__","yeah , but i need the superus password now , befor he have instal __eou__",0
ebarch : skjoedt or a bad cabl __eou__ __eot__ intern __eou__ __eot__,"ide or sata cabl could be bad , do you have a spare ? __eou__",1
"that 's probabl a bug in the composit extens . i suggest disabl it in x to determin if this be the case . __eou__ to do that , edit /etc/x11/xorg.conf , find the extens section , and add : option `` composit '' `` disabl '' __eou__ __eot__ thank , ill give that a tri . __eou__ i cant see the `` extent '' section . do you mean to place that line under the `` inputdevic '' section ( for mous ) ? __eou__ __eot__ see the bottom of http : //rpm.livna.org/rlowiki/packages/xorg-x11-drv-fglrx __eou__ just past that code snippet to the bottom of your xorg.conf file , should be fine __eou__ let 's check to make sure composit actual get disabl -- xdpyinfo | grep -i composit __eou__ no output mean it 's disabl __eou__ __eot__ im sorri , i didnt use your name befor so mayb you didnt see my text . type that give no output in consol . __eou__ __eot__","hrmm , ok ... better re-en composit then in case you need it later . go put a # sign in front of the line you ad ... __eou__ after that next step will probabl be to reinstal the ati driver , but you ll have to ask these guy how to do that cos i do n't know ( i do n't actual run ubuntu ) __eou__ well , i have a quick look onlin about it , i ll show you what i find ... http : //ubuntuforums.org/archive/index.php/t-245143.html __eou__ i find ... http : //ubuntuforums.org/archive/index.php/t-245143.html __eou__ i suggest you have a look through /var/log/xorg.0.log for warn and error . c.c __eou__ yep . __eou__",1
"scari thing : i understand that . o.o __eou__ __eot__ what , what i say ? that 's perhap becaus i do n't speak french ; ) __eou__ put it in /etc/fstab i suppos __eou__ __eot__ i tri __eou__ __eot__ perhap the network be not up yet when the system tri to mount it ( should n't happen , but doe ) __eou__ you could put a `` mount '' command into your /etc/init.d/bootmisc.sh , that 's start later hope __eou__ do n't think it 's realli bad , but just add it __eou__ __eot__ i do . __eou__ __eot__",: - ) good work ! __eou__,0
"i hav dwnload kubuntu how can i instal in my ubuntu gnome ? ? ? __eou__ __eot__ you can just instal the desktop if you want kubuntu __eou__ you ca n't in other then a virtual , or in anoth partit if you download the whole iso __eou__ __eot__ ya i hav download whole iso kbuntu hlw to instal in ubuntu now ? __eou__ __eot__ you ca n't instal it into ubuntu . what be it your tri to do __eou__ __eot__ dn tell me how to instal kubuntu in my lapi __eou__ __eot__ you want the kubuntu desktop or a seper instal of kubuntu then ubuntu __eou__ if you just want the desktop look in synapt for kubuntu-desktop i afraid to give you a termin command here we be not communic . __eou__ __eot__ m back , pls tell me how to instal kubuntu on my lapi ? __eou__ __eot__ sudo apt-get instal kubuntu-desktop in the termin __eou__ __eot__",no man i hav download kubuntu dekstop from download them all in mozilla now how to instal it in laptop __eou__ after partit how to run dat setup __eou__,1
"hi . when i manual instal the nvidia driver and restart gdm it work , but when i restart my comput it doe n't find it again . what be i do wrong ? __eou__ __eot__ sysvinit ? __eou__ __eot__",i find it __eou__,0
quick question : doe anyon know if it be trivial or hard or imposs to run ms visual studio with wine ? __eou__ __eot__ whi would you want to do such a thing ? __eou__ doe n't eclipse-cdt fit the bill ? __eou__ __eot__ it 's more that i want to use what i 'm alreadi familiar with if it would n't be hard to set up : ) i ve get no problem use anoth ide if i have to __eou__ __eot__,lol __eou__,0
"i mean like have iso9660 filesystem on my memori stick __eou__ emul cd __eou__ __eot__ you can creat an iso 9660 filesystem with mkisof , but that wo n't make your pendriv a cd drive . it would requir chang to the pendriv 's firmwar . __eou__ __eot__ do you have ani idea how i should do the filesystem on my memori stick with mkisof ? do i need unalloc 700mb space first and then some command ? __eou__ __eot__",lol __eou__,0
"ubuntu be random crash for me ( in such sysrq combin or ctrl-alt-bksp do noth ) this occur when i open multipl program without wait for the previous one to open befor start the next . this be definit not hardwar relat as it occur on two differ machin , and doe n't happen in window , what be caus this and how can i fix it ? __eou__ __eot__ two machin may have hardwar issu , you know ? anyway , what be common factor on those two machin ? __eou__ __eot__ alright ... cpu , one be centrino solo , one centrino duo , first have 1gb of 333mhz ram , other have 4gb of 666 , old have nvidia gefor 5200m , new have 8400m gs __eou__ vesa or the non acceler nvidia ? __eou__ __eot__ vesa and nv if you can __eou__ __eot__ alright , brb restart x __eou__ doesnt occur with either vesa or nv , vesa result in the screen be distort , nv doesnt , so atm use nv , howev this be not a solut , as i need hardwar accel __eou__ __eot__ instal nvidia-glx-new packag see how it goe __eou__ __eot__ that the one i be use __eou__ would tri nvidia without all of the ad option line in xorg.conf be a good idea ? __eou__ so now that we know my problem onli occur with the nvidia driver , what can i do to run nvidia without the problem __eou__ __eot__ if you tri nvidia-glx-legaci , nvidia-glx-new and nvidia-glx and none of them work ... you need a new card . it might also be a problem with the agpgart __eou__ __eot__ but be agp even use in pci express card ? __eou__ __eot__",that be n't veri good news . be you sure about that ? __eou__,0
"hey , i need to copi a dir into the /opt directori , which requir root privilig . how do i do this ? __eou__ i need to copi a dir into the /opt dir , which requir root privilg . can somebodi pleas tell me how to do this ? __eou__ __eot__ sudo cp /dir /otherdir __eou__ my laptop goe to stanby/suspend with the livecd but not on the instal gutsi . anyon can help me out ? __eou__ __eot__ i tri that . it say /dir be be omit . __eou__ __eot__ tri : sudo mc , and then tri to copi with mc __eou__ __eot__","- you , find that command , but i do n't dare to give it to you sinc i be n't sure it be it . = ) __eou__",0
"i might tri gentoo again onc they get a real instal __eou__ __eot__ i learn alot from linux by instal gentoo __eou__ i think it kool they make you do so much , but i guess it doe get bore __eou__ __eot__","this doesn ; t creat a perma mount or anyth , right ? __eou__",0
"how can i check in a shell script if some packag be instal __eou__ __eot__ i would use dpkg __eou__ dpkg -l be a list of packag status __eou__ __eot__ and then pipe it to grep ? becaus i want to put it into an if statement __eou__ __eot__ you could wrap with $ ( ) __eou__ or set an env variabl , then test the variabl __eou__ troubl be go to be if a packag contain the name of your packag that be not your packag __eou__ i.e . you want to know if foo be instal , but there exist foo and tafooi packag __eou__ this requir some awk magic i 'm not awar how to di t __eou__ how to do it* __eou__ __eot__","i ll look at that , thank __eou__",0
! help | fishscen __eou__ oh now he talk __eou__ be ubottu break ? he 's not respond to ani of my queri __eou__ __eot__ doe he work if you identifi yourself ? __eou__ __eot__,oop . for some reason pidgin fail to log me in __eou__,1
"i be tri to build ndiswrapp 1.29 and it give me this after i run make http : //pastebin.com/m63ac519b __eou__ __eot__ check the full output of make __eou__ __eot__ that be the full output __eou__ __eot__ er , wait , the problem be with extra_cflag __eou__ __eot__ how do i fix it __eou__ __eot__ i 'm not sure . btw , i think an older , work version of ndiswrapp be in the repo __eou__ __eot__","yes , i be . __eou__",0
"i make it __eou__ damn it work __eou__ :3 __eou__ uhm , be there a program where i can see the partit on my hd ? __eou__ __eot__ sudo fdisk -l ' will print some inform . __eou__ gpart be much easier to use __eou__ ? __eou__ et instal gpart ' __eou__ sudo apt-get instal gpart ' __eou__ or through synapt . __eou__ xmoto be in the univers ' sourc , you need to enabl that in `` system - > administr - > softwar properti '' . __eou__ good , do you enabl the univers ' repositori in softwar properti ? __eou__ __eot__ i need help : d __eou__ __eot__ what be you tri to do ? __eou__ do you enabl the univers ' repositori like i ask you to ? __eou__ then do . __eou__ system - > administr - > softwar properti . __eou__ ah . tri software-properties-gtk __eou__ univers ' be enabl ? __eou__ tri the `` reload '' button in synapt __eou__ make it smaller ? __eou__ __eot__ not possibl __eou__ __eot__ hold alt , right-click-and-drag . __eou__ __eot__ i cant make it smaller __eou__ __eot__ whi not ? what kind of window be it ? __eou__ __eot__",my netbook have 1024 x 600 and the window isnt make for this resolut __eou__,1
"can anybodi suggest a good , standards-compli browser for gnome that *isn't* base on the mozilla code base in ani way shape or form ? __eou__ be opera or webkit in the repo ? __eou__ what be midori ? __eou__ i just kill my firefox for the umpteenth time today after it decid to swallow up 500mb of ram and over 750mb of swap space . on a 1gb laptop ... . __eou__ __eot__ tri chrome __eou__ __eot__ i run linux . and i do n't drink wine . __eou__ __eot__ no problem ... use chromium linux version of chrome __eou__ __eot__",the linux version be ... not complet . to put it mild . __eou__,1
"hi , the icon on my desktop just disappeared.. also i 'm not abl to open ani folders.. what do i do ? i 'm use gnome.. pleas help __eou__ i do n't know how to do that , agresor __eou__ __eot__ log out/back in be the easiest . or tri alt-f2 and type : nautilus __eou__ can you open a termin ( applic / accessori ) and type nautilus and tell us what it say ? __eou__ __eot__",it doe n't say anyth __eou__,1
"hi all , im tri to boot ubuntu from a usb hard drive via a direct instal , howev when it boot i just get the word `` grub '' on the screen and then it bail out , ani idea ? __eou__ anyon help me pleas ? __eou__ __eot__ help with what __eou__ you have to ask a question to get help __eou__ whi do n't you just tell us your problem __eou__ other peopl problem be of no interest to you __eou__ __eot__ becuas i 'm have a veri regular problem ( appar ) with fglrx.. i 'm run an amd64 bite board w/ 4gb of ram , and i 'm think fglrx be caus kernel panics.. and i be hope someon in here be familiar with the issu . __eou__ __eot__ so that the question not `` anyon have ani problem with fglrx '' __eou__ __eot__ well , it 's mor eus to find someon who have be through the same kind of issue.. you re no good to me if you know absolut noth about fglrx and 64-bit kernel panic : - ) __eou__ __eot__ do you know anyth about it ? __eou__ __eot__",it work if you see the nvidia logo __eou__,0
"help , i ca n't instal firefox 3.5 ! : ( __eou__ *instal __eou__ __eot__ provid more detail so someon can help you . __eou__ __eot__ i do n't know how to instal it , i download the tar.bz from firefox 's websit but it jut extract to a folder __eou__ __eot__ tri run shiretoko ' from a termin __eou__ __eot__",commando not find __eou__,1
i dont see ani net instal imag there __eou__ __eot__ rtfing may help __eou__ __eot__ it not in the manual __eou__ __eot__,http : //linux.die.net/man/8/tftpd __eou__,1
"ubuntu 7.04 for desktop comput be onli 730 mb big ? __eou__ __eot__ no that the iso size __eou__ be cup run ? __eou__ __eot__ how to check that ? __eou__ __eot__ sudo /etc/init.d/cupsi status __eou__ __eot__ it 's not run : ( __eou__ __eot__ then you can start it with , sudo /etc/init.d/cupsi start __eou__ __eot__ it doe n't start - here be the data from /var/log/messag - http : //pastebin.ca/1238621 __eou__ __eot__",interest __eou__,0
"my cd drive be stick , use eject in termin be n't work . it tell me the drive be busi __eou__ __eot__ a reboot will fix __eou__ __eot__ in the middl of instal someth __eou__ __eot__ oh noe - fuser -c /dev/cdrom ' __eou__ __eot__",do n't do anyth __eou__,1
"i be get weak wifi signal on my school network , will ad a usb linksi wifi adapt help me boost signal / __eou__ __eot__ pleas explain more . __eou__ __eot__ the signal be realli week , my laptop alreadi have wifi card , i be tri to add a linksi usb wifi adapat to the laptop , will ad this help boost signal ? __eou__ the signal be realli week , my laptop alreadi have wifi card , i be tri to add a linksi usb wifi adapat to the laptop , will ad this help boost signal ? __eou__ __eot__ ad anoth wont help boost . but use anoth wifi ( usb ) may have a better recept . __eou__ and it dont need to be a usb , a pcmcia would do as well . __eou__ __eot__ current i have a linksi usb wifi adapt , tri to follow some link , but not sure how i can add this , the adapt have a cd for window instal , noth for ubuntu or linux __eou__ when i add the adapt to usb , it doesnt blink __eou__ __eot__",i assum you have tri ndiswrap . __eou__,1
